Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Lina PerezF35-39,CO,#413,38,189,1212,59:38:00,2:51:54,2:25:13,6:27:11,81
Karina SantacruzF35-39,CO,#780,26,114,889,52:20:00,2:56:03,2:07:13,6:03:33,84.4
Liliana AriasF35-39,CO,#724,9,52,543,40:01:00,2:48:33,2:04:00,5:39:33,88.1
Ana BarretoF35-39,CO,#727,16,84,733,54:14:00,2:53:33,1:55:25,5:52:48,86
Maria Auxiliadora Dominguez PulleyF35-39,EC,#745,64,315,1613,52:43:00,3:24:24,2:42:26,7:11:06,75.4
Ana AlvarezF35-39,CO,#723,29,124,949,50:29:00,3:14:00,1:53:36,6:06:50,83.9
Marilin Gomez RinconF35-39,CO,#752,23,102,813,55:03:00,3:01:02,1:52:28,5:57:51,85.2
Vanesa MoralesF35-39,CO,#263,19,93,784,41:05:00,3:00:47,2:05:10,5:56:25,85.5
Carolina VasquezF35-39,CO,#733,30,134,996,47:53:00,3:09:23,2:04:03,6:09:50,83.5
Angelica TorresF35-39,CO,#783,4,34,374,40:20:00,2:45:16,1:55:22,5:28:40,89.9
Clara DazaF35-39,CO,#743,48,239,1391,1:00:35,3:13:59,2:15:12,6:42:13,79
Diana Paola Cedano DiazF35-39,CO,#738,72,353,1700,1:00:49,3:48:05,2:25:29,7:29:28,73.2
Sonia CepedaF35-39,CO,#739,22,101,811,45:52:00,2:59:17,2:06:12,5:57:47,85.3
Lorena BuitragoF35-39,CO,#731,47,236,1380,42:38:00,3:09:29,2:40:02,6:41:45,79
Gloria Helena Alba AlvarezF35-39,CO,#721,80,390,1776,56:48:00,4:06:41,2:45:29,8:02:30,69.7
Rafaela Leon NaranjoF35-39,CO,#759,33,159,1113,49:05:00,3:01:12,2:22:53,6:18:41,82.2
Greizy Florez MercadoF35-39,CO,#748,53,261,1473,46:41:00,3:33:33,2:23:42,6:51:42,77.7
Fabiola Morales BibrF35-39,CU,#770,79,388,1774,54:48:00,3:59:48,2:52:26,8:01:50,69.8
Cindy BeuermannF35-39,PE,#729,56,282,1533,36:58:00,3:25:23,2:44:54,6:58:35,76.9
Eliana Váquiro HerreraF35-39,CO,#358,15,83,731,47:10:00,2:55:43,2:04:35,5:52:39,86
Lady Katherine CastilloF35-39,CO,#736,14,82,730,44:29:00,2:59:22,2:03:12,5:52:35,86.1
Maria BernalF35-39,CO,#728,13,78,711,43:50:00,2:53:33,2:07:01,5:51:33,86.2
Lía Margarita García ArroyoF35-39,CO,#750,8,44,493,34:01:00,2:58:11,1:58:32,5:37:05,88.5
Jenny Karim González GaitánF35-39,CO,#753,58,285,1544,45:30:00,3:29:36,2:32:09,7:01:46,76.5
Rosalia Mosquera NarváezF35-39,CO,#264,69,334,1658,53:08:00,3:49:00,2:23:53,7:20:33,74.2
