Name,,,Div.,Gen.,Ovr.,Swim,Bike,Run,Overall,DPI
Juan Cruz SaizM25-29,AR,#1192,8,82,89,27:04:00,2:25:58,1:40:14,4:36:16,95.2
Jorge Sebastian OliveraM40-44,AR,#861,174,728,850,47:09:00,2:42:59,2:26:02,6:05:39,80.5
Alejandra LouisF55-59,AR,#488,7,184,1071,46:17:00,3:30:52,2:42:23,7:05:59,89.1
Guillermo TremontiM50-54,AR,#293,14,244,263,34:56:00,2:39:19,1:41:40,5:00:50,94.6
Andrea EtchegarayF45-49,AR,#275,8,47,422,37:13:00,2:51:23,1:43:29,5:17:45,96.6
Damian MarkoskiM40-44,AR,#858,141,558,639,46:39:00,2:39:01,2:09:14,5:40:22,84.4
Dean CampbellM50-54,NZ,#1054,33,445,509,36:49:00,2:39:41,2:02:15,5:25:31,90.1
Nelson StoflerM35-39,AR,#659,70,310,341,35:16:00,2:45:48,1:44:25,5:11:15,88.5
Maximiliano Nicolas SandovalM30-34,AR,#554,98,699,812,51:45:00,2:58:23,1:56:40,6:00:03,81.7
Rodolphe Von BergMPRO",US,#1,1,1,1,23:06,2:01:06,1:10:58,3:37:38,100
David AlmeidaM35-39,BR,#1398,16,64,69,34:05:00,2:21:50,1:30:23,4:32:14,96.1
Sofía GallettiF30-34,AR,#291,21,76,588,37:53:00,2:51:35,1:58:08,5:34:44,88.7
Federico SanchezM30-34,AR,#553,6,41,45,30:26:00,2:26:45,1:26:08,4:26:52,98.5
Franco CampanaroM50-54,AR,#1031,85,828,997,42:23:00,3:17:37,2:21:15,6:36:35,79.3
Enrique Ernesto NovelliM55-59,AR,#1096,36,757,887,43:38:00,2:51:36,2:29:03,6:11:25,82.6
altv26 VicecontiM35-39,BR,#761,95,406,460,36:51:00,2:46:17,1:49:57,5:20:30,86.9
Flavio MorandiniMPRO,AR,#11,8,8,8,23:05,2:08:56,1:18:55,3:53:26,96.2
Carlos AlricM40-44,AR,#1249,124,504,576,37:07:00,2:49:14,1:58:40,5:33:30,85.5
